,AC-mean,AC-10_moving_average,AC-se,AC-upper,AC-lower,HRS-mean,HRS-10_moving_average,HRS-se,HRS-upper,HRS-lower,RRS-mean,RRS-10_moving_average,RRS-se,RRS-upper,RRS-lower,NRSmean,NRS-10_moving,NRS-se,NRS-upper,NRS-lower,,,,,,,,,
74,4074.57,4460.992,402.516273,4863.508273,4058.475727,2555.63,2812.707,343.7871809,3156.4941809,2468.9198191,4325.12,4187.92,415.4154889,4603.3354889,3772.5045111,3969.79411764705,3745.21960784313,398.127592173407,4143.34720001654,3347.09201566972,,,,,,,,,
75,4477.61,4474.754,423.6663649,4898.4203649,4051.0876351,3045.89,2841.84,376.6754175,3218.5154175,2465.1645825,4270.97,4146.366,419.8835151,4566.2495151,3726.4824849,4354.35294117647,3698.28823529411,396.767547882247,4095.05578317636,3301.52068741186,,,,,,,,,
76,4934.56,4472.767,434.4172958,4907.1842958,4038.3497042,2661.65,2864.938,352.5372339,3217.4752339,2512.4007661,4317.23,4118.624,424.5833096,4543.2073096,3694.0406904,3904.93137254901,3641.28921568627,395.931609425823,4037.22082511209,3245.35760626045,,,,,,,,,
77,4617.84,4391.7,435.0872753,4826.7872753,3956.6127247,2790.8,2881.161,357.9664794,3239.1274794,2523.1945206,4716.54,4115.128,420.7368737,4535.8648737,3694.3911263,3903.06862745098,3582.3931372549,401.155777181736,3983.54891443664,3181.23736007316,,,,,,,,,
78,4531.52,4348.571,423.0656362,4771.6366362,3925.5053638,2836.98,2880.282,359.048448,3239.330448,2521.233552,4052.79,4031.981,394.0308557,4426.0118557,3637.9501443,3714.01960784313,3582.42647058823,378.702623243207,3961.12909383144,3203.72384734502,,,,,,,,,
79,4728.62,4328.55,425.5712008,4754.1212008,3902.9787992,2626.06,2906.355,352.4451398,3258.8001398,2553.9098602,4358.69,4039.967,407.9898927,4447.9568927,3631.9771073,3754.31372549019,3598.69705882353,384.937614088037,3983.63467291157,3213.75944473549,,,,,,,,,
80,4086.74,4252.811,411.7368705,4664.5478705,3841.0741295,2906.24,2930.38,368.6158562,3298.9958562,2561.7641438,3907.1,3998.5,410.6589934,4409.1589934,3587.8410066,3443.06862745098,3591.68235294117,389.603592756304,3981.28594569747,3202.07876018487,,,,,,,,,
81,4351.25,4255.962,432.3477185,4688.3097185,3823.6142815,3124.82,2956.553,363.4038977,3319.9568977,2593.1491023,3987.87,4030.947,400.4547829,4431.4017829,3630.4922171,3620.90196078431,3646.7931372549,394.368390997692,4041.16152825259,3252.42474625721,,,,,,,,,
82,4122.46,4222.113,418.9279108,4641.0409108,3803.1850892,2813.18,2953.613,353.4931027,3307.1061027,2600.1198973,4156.2,4029.791,406.6151746,4436.4061746,3623.1758254,3273.54901960784,3679.28823529411,364.030221859974,4043.31845715408,3315.25801343414,,,,,,,,,
83,4684.75,4218.488,430.9002937,4649.3882937,3787.5877063,2765.82,2984.109,371.4992437,3355.6082437,2612.6097563,3786.69,3997.148,406.772722,4403.920722,3590.375278,3514.19607843137,3734.80196078431,382.583525754849,4117.38548653916,3352.21843502946,,,,,,,,,
